Statename,FIPS,Date,Days_from_Ref,RelativeMobility,CumulativeMobility,Actual-Predict,FatalityRA,CumFatality_Stayput,SchoolOpenNow1%,SchoolOpenNow2%,MaskMandate25%,MaskMandate50%,Shutdown1week,Shutdown2week,Population
Wisconsin,55,2020-9-11,153,,,Prediction,5.30515007098793,1189.82874502361,1189.82874502361,1189.82874502361,1189.82874502361,1189.82874502361,1189.82874502361,1189.82874502361,5822434
Rhode Island,44,2020-9-11,147,,,Prediction,0.651445518138582,1057.07840568215,1057.07840568215,1057.07840568215,1057.07840568215,1057.07840568215,1057.07840568215,1057.07840568215,1059361
Iowa,19,2020-9-11,160,,,Prediction,11.3272237000318,1231.9024185415,1231.9024185415,1231.9024185415,1231.9024185415,1231.9024185415,1231.9024185415,1231.9024185415,3155070
New Jersey,34,2020-9-12,163,,,Prediction,4.95647775436223,16001.2104813316,16001.2104813316,16001.2104813316,16001.2104813316,16001.2104813316,16001.2104813316,16001.2104813316,8882190
California,6,2020-9-12,164,,,Prediction,174.891216293018,15083.3240526697,15083.3240526697,15083.3240526697,15083.3240526697,15083.3240526697,15083.3240526697,15083.3240526697,39512223
Texas,48,2020-9-12,84,,,Prediction,357.738598042619,16721.7730174371,16721.7730174371,16721.7730174371,16721.7730174371,16721.7730174371,16721.7730174371,16721.7730174371,28995881
Florida,12,2020-9-12,84,,,Prediction,140.507154918912,12943.2437623178,12943.2437623178,12943.2437623178,12943.2437623178,12943.2437623178,12943.2437623178,12943.2437623178,21477737
Massachusetts,25,2020-9-12,158,,,Prediction,18.2817611095688,9268.5418915939,9268.5418915939,9268.5418915939,9268.5418915939,9268.5418915939,9268.5418915939,9268.5418915939,6892503
Illinois,17,2020-9-12,158,,,Prediction,18.8368099935241,8475.69865526245,8475.69865526245,8475.69865526245,8475.69865526245,8475.69865526245,8475.69865526245,8475.69865526245,12671821
Pennsylvania,42,2020-9-12,158,,,Prediction,22.3354347129695,7924.62559849764,7924.62559849764,7924.62559849764,7924.62559849764,7924.62559849764,7924.62559849764,7924.62559849764,12801989
Michigan,26,2020-9-12,160,,,Prediction,10.5288407944108,6780.15317574203,6780.15317574203,6780.15317574203,6780.15317574203,6780.15317574203,6780.15317574203,6780.15317574203,9986857
Georgia,13,2020-9-12,84,,,Prediction,96.8830023180014,6710.57853912142,6710.57853912142,6710.57853912142,6710.57853912142,6710.57853912142,6710.57853912142,6710.57853912142,10617423
Arizona,4,2020-9-12,84,,,Prediction,23.0101718982448,5367.55316501222,5367.55316501222,5367.55316501222,5367.55316501222,5367.55316501222,5367.55316501222,5367.55316501222,7278717
Louisiana,22,2020-9-12,162,,,Prediction,41.2458797043464,5444.78669761149,5444.78669761149,5444.78669761149,5444.78669761149,5444.78669761149,5444.78669761149,5444.78669761149,4648794
Connecticut,9,2020-9-12,158,,,Prediction,1.30997094938409,4481.12459163711,4481.12459163711,4481.12459163711,4481.12459163711,4481.12459163711,4481.12459163711,4481.12459163711,3565287
Ohio,39,2020-9-12,156,,,Prediction,29.1497556207976,4620.59389169902,4620.59389169902,4620.59389169902,4620.59389169902,4620.59389169902,4620.59389169902,4620.59389169902,11689100
Maryland,24,2020-9-12,152,,,Prediction,8.96869940152591,3859.84695192333,3859.84695192333,3859.84695192333,3859.84695192333,3859.84695192333,3859.84695192333,3859.84695192333,6045680
