Statename,FIPS,Date,Days_from_Ref,RelativeMobility,CumulativeMobility,Actual-Predict,FatalityRA,CumFatality_Stayput,SchoolOpenNow1%,SchoolOpenNow2%,MaskMandate25%,MaskMandate50%,Shutdown1week,Shutdown2week,Population
Tennessee,47,2020-3-23,-21,,,Actual,,,,,,,,,6829174
Missouri,29,2020-3-23,-22,,,Actual,,,,,,,,,6137428
Nevada,32,2020-3-23,-21,,,Actual,,,,,,,,,3080156
Wisconsin,55,2020-3-23,-19,,,Actual,,,,,,,,,5822434
Rhode Island,44,2020-3-23,-25,,,Actual,,,,,,,,,1059361
Iowa,19,2020-3-23,-12,,,Actual,,,,,,,,,3155070
New Jersey,34,2020-3-24,-9,,,Actual,,,,,,,,,8882190
California,6,2020-3-24,-8,,,Actual,,,,,,,,,39512223
Texas,48,2020-3-24,-88,,,Actual,,,,,,,,,28995881
Florida,12,2020-3-24,-88,,,Actual,,,,,,,,,21477737
Massachusetts,25,2020-3-24,-14,,,Actual,,,,,,,,,6892503
Illinois,17,2020-3-24,-14,,,Actual,,,,,,,,,12671821
Pennsylvania,42,2020-3-24,-14,,,Actual,,,,,,,,,12801989
Michigan,26,2020-3-24,-12,,,Actual,,,,,,,,,9986857
Georgia,13,2020-3-24,-88,,,Actual,,,,,,,,,10617423
Arizona,4,2020-3-24,-88,,,Actual,,,,,,,,,7278717
Louisiana,22,2020-3-24,-10,,,Actual,,,,,,,,,4648794
Connecticut,9,2020-3-24,-14,,,Actual,,,,,,,,,3565287
Ohio,39,2020-3-24,-16,,,Actual,,,,,,,,,11689100
Maryland,24,2020-3-24,-20,,,Actual,,,,,,,,,6045680
Indiana,18,2020-3-24,-15,,,Actual,,,,,,,,,6732219
South Carolina,45,2020-3-24,-88,,,Actual,,,,,,,,,5148714
North Carolina,37,2020-3-24,-22,,,Actual,,,,,,,,,10488084
Virginia,51,2020-3-24,-20,,,Actual,,,,,,,,,8535519
Mississippi,28,2020-3-24,-48,,,Actual,,,,,,,,,2976149
Alabama,1,2020-3-24,-5,,,Actual,,,,,,,,,4903185
Colorado,8,2020-3-24,1,-43,0.57,Actual,2.6,11,,,,,,,5758736
Washington,53,2020-3-24,-18,,,Actual,,,,,,,,,7614893
Minnesota,27,2020-3-24,-21,,,Actual,,,,,,,,,5639632
Tennessee,47,2020-3-24,-20,,,Actual,,,,,,,,,6829174
Missouri,29,2020-3-24,-21,,,Actual,,,,,,,,,6137428
Nevada,32,2020-3-24,-20,,,Actual,,,,,,,,,3080156
Wisconsin,55,2020-3-24,-18,,,Actual,,,,,,,,,5822434
Rhode Island,44,2020-3-24,-24,,,Actual,,,,,,,,,1059361
Iowa,19,2020-3-24,-11,,,Actual,,,,,,,,,3155070
New Jersey,34,2020-3-25,-8,,,Actual,,,,,,,,,8882190
California,6,2020-3-25,-7,,,Actual,,,,,,,,,39512223
Texas,48,2020-3-25,-87,,,Actual,,,,,,,,,28995881
Florida,12,2020-3-25,-87,,,Actual,,,,,,,,,21477737
Massachusetts,25,2020-3-25,-13,,,Actual,,,,,,,,,6892503
Illinois,17,2020-3-25,-13,,,Actual,,,,,,,,,12671821
Pennsylvania,42,2020-3-25,-13,,,Actual,,,,,,,,,12801989
Michigan,26,2020-3-25,-11,,,Actual,,,,,,,,,9986857
Georgia,13,2020-3-25,-87,,,Actual,,,,,,,,,10617423
Arizona,4,2020-3-25,-87,,,Actual,,,,,,,,,7278717
Louisiana,22,2020-3-25,-9,,,Actual,,,,,,,,,4648794
Connecticut,9,2020-3-25,-13,,,Actual,,,,,,,,,3565287
Ohio,39,2020-3-25,-15,,,Actual,,,,,,,,,11689100
Maryland,24,2020-3-25,-19,,,Actual,,,,,,,,,6045680
Indiana,18,2020-3-25,-14,,,Actual,,,,,,,,,6732219
South Carolina,45,2020-3-25,-87,,,Actual,,,,,,,,,5148714
North Carolina,37,2020-3-25,-21,,,Actual,,,,,,,,,10488084
Virginia,51,2020-3-25,-19,,,Actual,,,,,,,,,8535519
Mississippi,28,2020-3-25,-47,,,Actual,,,,,,,,,2976149
Alabama,1,2020-3-25,-4,,,Actual,,,,,,,,,4903185
Colorado,8,2020-3-25,2,-44.6666666666667,1.12333333333333,Actual,4.8,20,,,,,,,5758736
Washington,53,2020-3-25,-17,,,Actual,,,,,,,,,7614893
Minnesota,27,2020-3-25,-20,,,Actual,,,,,,,,,5639632
Tennessee,47,2020-3-25,-19,,,Actual,,,,,,,,,6829174
Missouri,29,2020-3-25,-20,,,Actual,,,,,,,,,6137428
Nevada,32,2020-3-25,-19,,,Actual,,,,,,,,,3080156
Wisconsin,55,2020-3-25,-17,,,Actual,,,,,,,,,5822434
Rhode Island,44,2020-3-25,-23,,,Actual,,,,,,,,,1059361
Iowa,19,2020-3-25,-10,,,Actual,,,,,,,,,3155070
New Jersey,34,2020-3-26,-7,,,Actual,,,,,,,,,8882190
California,6,2020-3-26,-6,,,Actual,,,,,,,,,39512223
Texas,48,2020-3-26,-86,,,Actual,,,,,,,,,28995881
Florida,12,2020-3-26,-86,,,Actual,,,,,,,,,21477737
Massachusetts,25,2020-3-26,-12,,,Actual,,,,,,,,,6892503
Illinois,17,2020-3-26,-12,,,Actual,,,,,,,,,12671821
Pennsylvania,42,2020-3-26,-12,,,Actual,,,,,,,,,12801989
Michigan,26,2020-3-26,-10,,,Actual,,,,,,,,,9986857
Georgia,13,2020-3-26,-86,,,Actual,,,,,,,,,10617423
Arizona,4,2020-3-26,-86,,,Actual,,,,,,,,,7278717
Louisiana,22,2020-3-26,-8,,,Actual,,,,,,,,,4648794
Connecticut,9,2020-3-26,-12,,,Actual,,,,,,,,,3565287
Ohio,39,2020-3-26,-14,,,Actual,,,,,,,,,11689100
Maryland,24,2020-3-26,-18,,,Actual,,,,,,,,,6045680
Indiana,18,2020-3-26,-13,,,Actual,,,,,,,,,6732219
South Carolina,45,2020-3-26,-86,,,Actual,,,,,,,,,5148714
North Carolina,37,2020-3-26,-20,,,Actual,,,,,,,,,10488084
Virginia,51,2020-3-26,-18,,,Actual,,,,,,,,,8535519
Mississippi,28,2020-3-26,-46,,,Actual,,,,,,,,,2976149
Alabama,1,2020-3-26,-3,,,Actual,,,,,,,,,4903185
Colorado,8,2020-3-26,3,-53.3333333333333,1.59,Actual,7.4,19,,,,,,,5758736
Washington,53,2020-3-26,-16,,,Actual,,,,,,,,,7614893
Minnesota,27,2020-3-26,-19,,,Actual,,,,,,,,,5639632
Tennessee,47,2020-3-26,-18,,,Actual,,,,,,,,,6829174
Missouri,29,2020-3-26,-19,,,Actual,,,,,,,,,6137428
Nevada,32,2020-3-26,-18,,,Actual,,,,,,,,,3080156
Wisconsin,55,2020-3-26,-16,,,Actual,,,,,,,,,5822434
Rhode Island,44,2020-3-26,-22,,,Actual,,,,,,,,,1059361
Iowa,19,2020-3-26,-9,,,Actual,,,,,,,,,3155070
New Jersey,34,2020-3-27,-6,,,Actual,,,,,,,,,8882190
California,6,2020-3-27,-5,,,Actual,,,,,,,,,39512223
Texas,48,2020-3-27,-85,,,Actual,,,,,,,,,28995881
Florida,12,2020-3-27,-85,,,Actual,,,,,,,,,21477737
Massachusetts,25,2020-3-27,-11,,,Actual,,,,,,,,,6892503
Illinois,17,2020-3-27,-11,,,Actual,,,,,,,,,12671821
Pennsylvania,42,2020-3-27,-11,,,Actual,,,,,,,,,12801989
Michigan,26,2020-3-27,-9,,,Actual,,,,,,,,,9986857
Georgia,13,2020-3-27,-85,,,Actual,,,,,,,,,10617423
Arizona,4,2020-3-27,-85,,,Actual,,,,,,,,,7278717
Louisiana,22,2020-3-27,-7,,,Actual,,,,,,,,,4648794
Connecticut,9,2020-3-27,-11,,,Actual,,,,,,,,,3565287
Ohio,39,2020-3-27,-13,,,Actual,,,,,,,,,11689100
Maryland,24,2020-3-27,-17,,,Actual,,,,,,,,,6045680
Indiana,18,2020-3-27,-12,,,Actual,,,,,,,,,6732219
South Carolina,45,2020-3-27,-85,,,Actual,,,,,,,,,5148714
North Carolina,37,2020-3-27,-19,,,Actual,,,,,,,,,10488084
Virginia,51,2020-3-27,-17,,,Actual,,,,,,,,,8535519
Mississippi,28,2020-3-27,-45,,,Actual,,,,,,,,,2976149
Alabama,1,2020-3-27,-2,,,Actual,,,,,,,,,4903185
Colorado,8,2020-3-27,4,-55.3333333333333,2.03666666666667,Actual,7.2,31,,,,,,,5758736
Washington,53,2020-3-27,-15,,,Actual,,,,,,,,,7614893
Minnesota,27,2020-3-27,-18,,,Actual,,,,,,,,,5639632
Tennessee,47,2020-3-27,-17,,,Actual,,,,,,,,,6829174
Missouri,29,2020-3-27,-18,,,Actual,,,,,,,,,6137428
Nevada,32,2020-3-27,-17,,,Actual,,,,,,,,,3080156
Wisconsin,55,2020-3-27,-15,,,Actual,,,,,,,,,5822434
Rhode Island,44,2020-3-27,-21,,,Actual,,,,,,,,,1059361
Iowa,19,2020-3-27,-8,,,Actual,,,,,,,,,3155070
New Jersey,34,2020-3-28,-5,,,Actual,,,,,,,,,8882190
California,6,2020-3-28,-4,,,Actual,,,,,,,,,39512223
Texas,48,2020-3-28,-84,,,Actual,,,,,,,,,28995881
Florida,12,2020-3-28,-84,,,Actual,,,,,,,,,21477737
Massachusetts,25,2020-3-28,-10,,,Actual,,,,,,,,,6892503
Illinois,17,2020-3-28,-10,,,Actual,,,,,,,,,12671821
Pennsylvania,42,2020-3-28,-10,,,Actual,,,,,,,,,12801989
Michigan,26,2020-3-28,-8,,,Actual,,,,,,,,,9986857
Georgia,13,2020-3-28,-84,,,Actual,,,,,,,,,10617423
Arizona,4,2020-3-28,-84,,,Actual,,,,,,,,,7278717
Louisiana,22,2020-3-28,-6,,,Actual,,,,,,,,,4648794
Connecticut,9,2020-3-28,-10,,,Actual,,,,,,,,,3565287
Ohio,39,2020-3-28,-12,,,Actual,,,,,,,,,11689100
Maryland,24,2020-3-28,-16,,,Actual,,,,,,,,,6045680
Indiana,18,2020-3-28,-11,,,Actual,,,,,,,,,6732219
South Carolina,45,2020-3-28,-84,,,Actual,,,,,,,,,5148714
North Carolina,37,2020-3-28,-18,,,Actual,,,,,,,,,10488084
Virginia,51,2020-3-28,-16,,,Actual,,,,,,,,,8535519
Mississippi,28,2020-3-28,-44,,,Actual,,,,,,,,,2976149
Alabama,1,2020-3-28,-1,,,Actual,,,,,,,,,4903185
Colorado,8,2020-3-28,5,-51.6666666666667,2.52,Actual,6.2,44,,,,,,,5758736
Washington,53,2020-3-28,-14,,,Actual,,,,,,,,,7614893
Minnesota,27,2020-3-28,-17,,,Actual,,,,,,,,,5639632
Tennessee,47,2020-3-28,-16,,,Actual,,,,,,,,,6829174
Missouri,29,2020-3-28,-17,,,Actual,,,,,,,,,6137428
Nevada,32,2020-3-28,-16,,,Actual,,,,,,,,,3080156
Wisconsin,55,2020-3-28,-14,,,Actual,,,,,,,,,5822434
Rhode Island,44,2020-3-28,-20,,,Actual,,,,,,,,,1059361
Iowa,19,2020-3-28,-7,,,Actual,,,,,,,,,3155070
New Jersey,34,2020-3-29,-4,,,Actual,,,,,,,,,8882190
California,6,2020-3-29,-3,,,Actual,,,,,,,,,39512223
Texas,48,2020-3-29,-83,,,Actual,,,,,,,,,28995881
Florida,12,2020-3-29,-83,,,Actual,,,,,,,,,21477737
Massachusetts,25,2020-3-29,-9,,,Actual,,,,,,,,,6892503
Illinois,17,2020-3-29,-9,,,Actual,,,,,,,,,12671821
Pennsylvania,42,2020-3-29,-9,,,Actual,,,,,,,,,12801989
Michigan,26,2020-3-29,-7,,,Actual,,,,,,,,,9986857
Georgia,13,2020-3-29,-83,,,Actual,,,,,,,,,10617423
Arizona,4,2020-3-29,-83,,,Actual,,,,,,,,,7278717
Louisiana,22,2020-3-29,-5,,,Actual,,,,,,,,,4648794
Connecticut,9,2020-3-29,-9,,,Actual,,,,,,,,,3565287
Ohio,39,2020-3-29,-11,,,Actual,,,,,,,,,11689100
Maryland,24,2020-3-29,-15,,,Actual,,,,,,,,,6045680
Indiana,18,2020-3-29,-10,,,Actual,,,,,,,,,6732219
South Carolina,45,2020-3-29,-83,,,Actual,,,,,,,,,5148714
North Carolina,37,2020-3-29,-17,,,Actual,,,,,,,,,10488084
Virginia,51,2020-3-29,-15,,,Actual,,,,,,,,,8535519
Mississippi,28,2020-3-29,-43,,,Actual,,,,,,,,,2976149
Alabama,1,2020-3-29,0,-34.3333333333333,0,Actual,4.4,10,,,,,,,4903185
Colorado,8,2020-3-29,6,-50.3333333333333,3.01666666666667,Actual,10,47,,,,,,,5758736
Washington,53,2020-3-29,-13,,,Actual,,,,,,,,,7614893
Minnesota,27,2020-3-29,-16,,,Actual,,,,,,,,,5639632
Tennessee,47,2020-3-29,-15,,,Actual,,,,,,,,,6829174
Missouri,29,2020-3-29,-16,,,Actual,,,,,,,,,6137428
Nevada,32,2020-3-29,-15,,,Actual,,,,,,,,,3080156
Wisconsin,55,2020-3-29,-13,,,Actual,,,,,,,,,5822434
Rhode Island,44,2020-3-29,-19,,,Actual,,,,,,,,,1059361
Iowa,19,2020-3-29,-6,,,Actual,,,,,,,,,3155070
New Jersey,34,2020-3-30,-3,,,Actual,,,,,,,,,8882190
California,6,2020-3-30,-2,,,Actual,,,,,,,,,39512223
Texas,48,2020-3-30,-82,,,Actual,,,,,,,,,28995881
Florida,12,2020-3-30,-82,,,Actual,,,,,,,,,21477737
Massachusetts,25,2020-3-30,-8,,,Actual,,,,,,,,,6892503
Illinois,17,2020-3-30,-8,,,Actual,,,,,,,,,12671821
Pennsylvania,42,2020-3-30,-8,,,Actual,,,,,,,,,12801989
Michigan,26,2020-3-30,-6,,,Actual,,,,,,,,,9986857
Georgia,13,2020-3-30,-82,,,Actual,,,,,,,,,10617423
Arizona,4,2020-3-30,-82,,,Actual,,,,,,,,,7278717
Louisiana,22,2020-3-30,-4,,,Actual,,,,,,,,,4648794
Connecticut,9,2020-3-30,-8,,,Actual,,,,,,,,,3565287
Ohio,39,2020-3-30,-10,,,Actual,,,,,,,,,11689100
Maryland,24,2020-3-30,-14,,,Actual,,,,,,,,,6045680
Indiana,18,2020-3-30,-9,,,Actual,,,,,,,,,6732219
South Carolina,45,2020-3-30,-82,,,Actual,,,,,,,,,5148714
North Carolina,37,2020-3-30,-16,,,Actual,,,,,,,,,10488084
Virginia,51,2020-3-30,-14,,,Actual,,,,,,,,,8535519
Mississippi,28,2020-3-30,-42,,,Actual,,,,,,,,,2976149
Alabama,1,2020-3-30,1,-32,0.68,Actual,4.6,10,,,,,,,4903185
Colorado,8,2020-3-30,7,-50,3.51666666666667,Actual,9.6,51,,,,,,,5758736
Washington,53,2020-3-30,-12,,,Actual,,,,,,,,,7614893
Minnesota,27,2020-3-30,-15,,,Actual,,,,,,,,,5639632
Tennessee,47,2020-3-30,-14,,,Actual,,,,,,,,,6829174
Missouri,29,2020-3-30,-15,,,Actual,,,,,,,,,6137428
Nevada,32,2020-3-30,-14,,,Actual,,,,,,,,,3080156
Wisconsin,55,2020-3-30,-12,,,Actual,,,,,,,,,5822434
Rhode Island,44,2020-3-30,-18,,,Actual,,,,,,,,,1059361
Iowa,19,2020-3-30,-5,,,Actual,,,,,,,,,3155070
New Jersey,34,2020-3-31,-2,,,Actual,,,,,,,,,8882190
California,6,2020-3-31,-1,,,Actual,,,,,,,,,39512223
Texas,48,2020-3-31,-81,,,Actual,,,,,,,,,28995881
Florida,12,2020-3-31,-81,,,Actual,,,,,,,,,21477737
Massachusetts,25,2020-3-31,-7,,,Actual,,,,,,,,,6892503
Illinois,17,2020-3-31,-7,,,Actual,,,,,,,,,12671821
Pennsylvania,42,2020-3-31,-7,,,Actual,,,,,,,,,12801989
Michigan,26,2020-3-31,-5,,,Actual,,,,,,,,,9986857
Georgia,13,2020-3-31,-81,,,Actual,,,,,,,,,10617423
Arizona,4,2020-3-31,-81,,,Actual,,,,,,,,,7278717
Louisiana,22,2020-3-31,-3,,,Actual,,,,,,,,,4648794
Connecticut,9,2020-3-31,-7,,,Actual,,,,,,,,,3565287
Ohio,39,2020-3-31,-9,,,Actual,,,,,,,,,11689100
Maryland,24,2020-3-31,-13,,,Actual,,,,,,,,,6045680
Indiana,18,2020-3-31,-8,,,Actual,,,,,,,,,6732219
South Carolina,45,2020-3-31,-81,,,Actual,,,,,,,,,5148714
North Carolina,37,2020-3-31,-15,,,Actual,,,,,,,,,10488084
Virginia,51,2020-3-31,-13,,,Actual,,,,,,,,,8535519
Mississippi,28,2020-3-31,-41,,,Actual,,,,,,,,,2976149
Alabama,1,2020-3-31,2,-34,1.34,Actual,5.6,23,,,,,,,4903185
Colorado,8,2020-3-31,8,-48.3333333333333,4.03333333333333,Actual,10.6,69,,,,,,,5758736
Washington,53,2020-3-31,-11,,,Actual,,,,,,,,,7614893
Minnesota,27,2020-3-31,-14,,,Actual,,,,,,,,,5639632
Tennessee,47,2020-3-31,-13,,,Actual,,,,,,,,,6829174
Missouri,29,2020-3-31,-14,,,Actual,,,,,,,,,6137428
Nevada,32,2020-3-31,-13,,,Actual,,,,,,,,,3080156
Wisconsin,55,2020-3-31,-11,,,Actual,,,,,,,,,5822434
Rhode Island,44,2020-3-31,-17,,,Actual,,,,,,,,,1059361
Iowa,19,2020-3-31,-4,,,Actual,,,,,,,,,3155070
New Jersey,34,2020-4-1,-1,,,Actual,,,,,,,,,8882190
California,6,2020-4-1,0,-47.3333333333333,0,Actual,28.2,199,,,,,,,39512223
Texas,48,2020-4-1,-80,,,Actual,,,,,,,,,28995881
Florida,12,2020-4-1,-80,,,Actual,,,,,,,,,21477737
Massachusetts,25,2020-4-1,-6,,,Actual,,,,,,,,,6892503
Illinois,17,2020-4-1,-6,,,Actual,,,,,,,,,12671821
Pennsylvania,42,2020-4-1,-6,,,Actual,,,,,,,,,12801989
Michigan,26,2020-4-1,-4,,,Actual,,,,,,,,,9986857
Georgia,13,2020-4-1,-80,,,Actual,,,,,,,,,10617423
Arizona,4,2020-4-1,-80,,,Actual,,,,,,,,,7278717
Louisiana,22,2020-4-1,-2,,,Actual,,,,,,,,,4648794
Connecticut,9,2020-4-1,-6,,,Actual,,,,,,,,,3565287
Ohio,39,2020-4-1,-8,,,Actual,,,,,,,,,11689100
Maryland,24,2020-4-1,-12,,,Actual,,,,,,,,,6045680
Indiana,18,2020-4-1,-7,,,Actual,,,,,,,,,6732219
South Carolina,45,2020-4-1,-80,,,Actual,,,,,,,,,5148714
North Carolina,37,2020-4-1,-14,,,Actual,,,,,,,,,10488084
Virginia,51,2020-4-1,-12,,,Actual,,,,,,,,,8535519
Mississippi,28,2020-4-1,-40,,,Actual,,,,,,,,,2976149
Alabama,1,2020-4-1,3,-28,2.06,Actual,5.6,27,,,,,,,4903185
Colorado,8,2020-4-1,9,-49.6666666666667,4.53666666666667,Actual,12.8,79,,,,,,,5758736
Washington,53,2020-4-1,-10,,,Actual,,,,,,,,,7614893
Minnesota,27,2020-4-1,-13,,,Actual,,,,,,,,,5639632
Tennessee,47,2020-4-1,-12,,,Actual,,,,,,,,,6829174
Missouri,29,2020-4-1,-13,,,Actual,,,,,,,,,6137428
Nevada,32,2020-4-1,-12,,,Actual,,,,,,,,,3080156
Wisconsin,55,2020-4-1,-10,,,Actual,,,,,,,,,5822434
Rhode Island,44,2020-4-1,-16,,,Actual,,,,,,,,,1059361
Iowa,19,2020-4-1,-3,,,Actual,,,,,,,,,3155070
New Jersey,34,2020-4-2,0,-59.6666666666667,0,Actual,158.2,681,,,,,,,8882190
California,6,2020-4-2,1,-49.3333333333333,0.506666666666667,Actual,28.6,238,,,,,,,39512223
Texas,48,2020-4-2,-79,,,Actual,,,,,,,,,28995881
Florida,12,2020-4-2,-79,,,Actual,,,,,,,,,21477737
Massachusetts,25,2020-4-2,-5,,,Actual,,,,,,,,,6892503
Illinois,17,2020-4-2,-5,,,Actual,,,,,,,,,12671821
Pennsylvania,42,2020-4-2,-5,,,Actual,,,,,,,,,12801989
Michigan,26,2020-4-2,-3,,,Actual,,,,,,,,,9986857
Georgia,13,2020-4-2,-79,,,Actual,,,,,,,,,10617423
Arizona,4,2020-4-2,-79,,,Actual,,,,,,,,,7278717
Louisiana,22,2020-4-2,-1,,,Actual,,,,,,,,,4648794
Connecticut,9,2020-4-2,-5,,,Actual,,,,,,,,,3565287
Ohio,39,2020-4-2,-7,,,Actual,,,,,,,,,11689100
Maryland,24,2020-4-2,-11,,,Actual,,,,,,,,,6045680
Indiana,18,2020-4-2,-6,,,Actual,,,,,,,,,6732219
South Carolina,45,2020-4-2,-79,,,Actual,,,,,,,,,5148714
North Carolina,37,2020-4-2,-13,,,Actual,,,,,,,,,10488084
Virginia,51,2020-4-2,-11,,,Actual,,,,,,,,,8535519
Mississippi,28,2020-4-2,-39,,,Actual,,,,,,,,,2976149
Alabama,1,2020-4-2,4,-32,2.74,Actual,6.8,32,,,,,,,4903185
Colorado,8,2020-4-2,10,-55.6666666666667,4.98,Actual,15,97,,,,,,,5758736
Washington,53,2020-4-2,-9,,,Actual,,,,,,,,,7614893
Minnesota,27,2020-4-2,-12,,,Actual,,,,,,,,,5639632
Tennessee,47,2020-4-2,-11,,,Actual,,,,,,,,,6829174
Missouri,29,2020-4-2,-12,,,Actual,,,,,,,,,6137428
Nevada,32,2020-4-2,-11,,,Actual,,,,,,,,,3080156
Wisconsin,55,2020-4-2,-9,,,Actual,,,,,,,,,5822434
Rhode Island,44,2020-4-2,-15,,,Actual,,,,,,,,,1059361
Iowa,19,2020-4-2,-2,,,Actual,,,,,,,,,3155070
New Jersey,34,2020-4-3,1,-63,0.37,Actual,163.8,817,,,,,,,8882190
California,6,2020-4-3,2,-48.6666666666667,1.02,Actual,35,265,,,,,,,39512223
Texas,48,2020-4-3,-78,,,Actual,,,,,,,,,28995881
Florida,12,2020-4-3,-78,,,Actual,,,,,,,,,21477737
Massachusetts,25,2020-4-3,-4,,,Actual,,,,,,,,,6892503
Illinois,17,2020-4-3,-4,,,Actual,,,,,,,,,12671821
Pennsylvania,42,2020-4-3,-4,,,Actual,,,,,,,,,12801989
Michigan,26,2020-4-3,-2,,,Actual,,,,,,,,,9986857
Georgia,13,2020-4-3,-78,,,Actual,,,,,,,,,10617423
Arizona,4,2020-4-3,-78,,,Actual,,,,,,,,,7278717
Louisiana,22,2020-4-3,0,-44,0,Actual,47.6,370,,,,,,,4648794
Connecticut,9,2020-4-3,-4,,,Actual,,,,,,,,,3565287
Ohio,39,2020-4-3,-6,,,Actual,,,,,,,,,11689100
Maryland,24,2020-4-3,-10,,,Actual,,,,,,,,,6045680
Indiana,18,2020-4-3,-5,,,Actual,,,,,,,,,6732219
South Carolina,45,2020-4-3,-78,,,Actual,,,,,,,,,5148714
North Carolina,37,2020-4-3,-12,,,Actual,,,,,,,,,10488084
Virginia,51,2020-4-3,-10,,,Actual,,,,,,,,,8535519
Mississippi,28,2020-4-3,-38,,,Actual,,,,,,,,,2976149
Alabama,1,2020-4-3,5,-32.6666666666667,3.41333333333333,Actual,4.4,38,,,,,,,4903185
Colorado,8,2020-4-3,11,-53.6666666666667,5.44333333333333,Actual,14.2,111,,,,,,,5758736
Washington,53,2020-4-3,-8,,,Actual,,,,,,,,,7614893
Minnesota,27,2020-4-3,-11,,,Actual,,,,,,,,,5639632
Tennessee,47,2020-4-3,-10,,,Actual,,,,,,,,,6829174
Missouri,29,2020-4-3,-11,,,Actual,,,,,,,,,6137428
Nevada,32,2020-4-3,-10,,,Actual,,,,,,,,,3080156
Wisconsin,55,2020-4-3,-8,,,Actual,,,,,,,,,5822434
Rhode Island,44,2020-4-3,-14,,,Actual,,,,,,,,,1059361
Iowa,19,2020-4-3,-1,,,Actual,,,,,,,,,3155070
New Jersey,34,2020-4-4,2,-57,0.8,Actual,172.2,1059,,,,,,,8882190
California,6,2020-4-4,3,-47.6666666666667,1.54333333333333,Actual,36.2,289,,,,,,,39512223
Texas,48,2020-4-4,-77,,,Actual,,,,,,,,,28995881
Florida,12,2020-4-4,-77,,,Actual,,,,,,,,,21477737
Massachusetts,25,2020-4-4,-3,,,Actual,,,,,,,,,6892503
Illinois,17,2020-4-4,-3,,,Actual,,,,,,,,,12671821
Pennsylvania,42,2020-4-4,-3,,,Actual,,,,,,,,,12801989
Michigan,26,2020-4-4,-1,,,Actual,,,,,,,,,9986857
Georgia,13,2020-4-4,-77,,,Actual,,,,,,,,,10617423
Arizona,4,2020-4-4,-77,,,Actual,,,,,,,,,7278717
Louisiana,22,2020-4-4,1,-46,0.54,Actual,47.8,409,,,,,,,4648794
Connecticut,9,2020-4-4,-3,,,Actual,,,,,,,,,3565287
Ohio,39,2020-4-4,-5,,,Actual,,,,,,,,,11689100
Maryland,24,2020-4-4,-9,,,Actual,,,,,,,,,6045680
Indiana,18,2020-4-4,-4,,,Actual,,,,,,,,,6732219
South Carolina,45,2020-4-4,-77,,,Actual,,,,,,,,,5148714
North Carolina,37,2020-4-4,-11,,,Actual,,,,,,,,,10488084
Virginia,51,2020-4-4,-9,,,Actual,,,,,,,,,8535519
Mississippi,28,2020-4-4,-37,,,Actual,,,,,,,,,2976149
Alabama,1,2020-4-4,6,-33.3333333333333,4.08,Actual,4.4,44,,,,,,,4903185
Colorado,8,2020-4-4,12,-49,5.95333333333333,Actual,14.2,126,,,,,,,5758736
Washington,53,2020-4-4,-7,,,Actual,,,,,,,,,7614893
Minnesota,27,2020-4-4,-10,,,Actual,,,,,,,,,5639632
Tennessee,47,2020-4-4,-9,,,Actual,,,,,,,,,6829174
Missouri,29,2020-4-4,-10,,,Actual,,,,,,,,,6137428
Nevada,32,2020-4-4,-9,,,Actual,,,,,,,,,3080156
Wisconsin,55,2020-4-4,-7,,,Actual,,,,,,,,,5822434
Rhode Island,44,2020-4-4,-13,,,Actual,,,,,,,,,1059361
Iowa,19,2020-4-4,0,-31,0,Actual,3.2,14,,,,,,,3155070
New Jersey,34,2020-4-5,3,-59.3333333333333,1.20666666666667,Actual,190.4,1185,,,,,,,8882190
California,6,2020-4-5,4,-51.3333333333333,2.03,Actual,38.8,348,,,,,,,39512223
Texas,48,2020-4-5,-76,,,Actual,,,,,,,,,28995881
Florida,12,2020-4-5,-76,,,Actual,,,,,,,,,21477737
Massachusetts,25,2020-4-5,-2,,,Actual,,,,,,,,,6892503
Illinois,17,2020-4-5,-2,,,Actual,,,,,,,,,12671821
Pennsylvania,42,2020-4-5,-2,,,Actual,,,,,,,,,12801989
Michigan,26,2020-4-5,0,-50.6666666666667,0,Actual,92.8,675,,,,,,,9986857
Georgia,13,2020-4-5,-76,,,Actual,,,,,,,,,10617423
Arizona,4,2020-4-5,-76,,,Actual,,,,,,,,,7278717
Louisiana,22,2020-4-5,2,-45.6666666666667,1.08333333333333,Actual,54.4,477,,,,,,,4648794
Connecticut,9,2020-4-5,-2,,,Actual,,,,,,,,,3565287
Ohio,39,2020-4-5,-4,,,Actual,,,,,,,,,11689100
Maryland,24,2020-4-5,-8,,,Actual,,,,,,,,,6045680
Indiana,18,2020-4-5,-3,,,Actual,,,,,,,,,6732219
South Carolina,45,2020-4-5,-76,,,Actual,,,,,,,,,5148714
North Carolina,37,2020-4-5,-10,,,Actual,,,,,,,,,10488084
Virginia,51,2020-4-5,-8,,,Actual,,,,,,,,,8535519
Mississippi,28,2020-4-5,-36,,,Actual,,,,,,,,,2976149
Alabama,1,2020-4-5,7,-42,4.66,Actual,6.4,45,,,,,,,4903185
Colorado,8,2020-4-5,13,-48.6666666666667,6.46666666666667,Actual,16.4,140,,,,,,,5758736
Washington,53,2020-4-5,-6,,,Actual,,,,,,,,,7614893
Minnesota,27,2020-4-5,-9,,,Actual,,,,,,,,,5639632
Tennessee,47,2020-4-5,-8,,,Actual,,,,,,,,,6829174
Missouri,29,2020-4-5,-9,,,Actual,,,,,,,,,6137428
